experience,age,governorate,disability,education,gender,clusters,nodes,durations
92.0,17.85753424657534,amman,no_disability,secondary_or_below,male,1,23,4.0
275.0,18.85753424657534,amman,no_disability,secondary_or_below,male,1,20,4.0
306.0,19.27123287671233,amman,no_disability,secondary_or_below,male,1,20,10.2
61.0,17.86849315068493,zarqa,no_disability,secondary_or_below,male,2,4,4.0
0.0,18.887671232876713,amman,no_disability,secondary_or_below,male,0,25,10.251497
244.0,18.898630136986302,irbid,no_disability,secondary_or_below,male,1,17,21.333334
61.0,17.56986301369863,al_aqaba,no_disability,secondary_or_below,male,2,4,8.1
0.0,19.534246575342465,amman,no_disability,secondary_or_below,male,0,11,7.851172
62.0,18.676712328767124,zarqa,no_disability,secondary_or_below,male,2,4,12.166667
31.0,16.7013698630137,zarqa,no_disability,secondary_or_below,male,2,2,37.5
396.0,20.345205479452055,irbid,no_disability,secondary_or_below,male,1,17,19.266666
822.0,23.34794520547945,irbid,no_disability,secondary_or_below,male,1,14,6.0333333
515.0,18.52054794520548,balqa,no_disability,vocational_training,male,1,14,3.0666666
0.0,18.863013698630137,ajloun,no_disability,vocational_training,male,0,25,4.8841796
31.0,17.35890410958904,zarqa,no_disability,secondary_or_below,male,2,2,9.166667
182.0,18.526027397260275,zarqa,no_disability,secondary_or_below,male,2,9,18.266666
425.0,19.517808219178082,irbid,no_disability,secondary_or_below,male,1,17,3.0666666
122.0,18.767123287671232,amman,no_disability,secondary_or_below,male,1,20,10.133333
183.0,19.767123287671232,amman,no_disability,secondary_or_below,male,2,8,3.0666666
365.0,18.254794520547946,balqa,no_disability,secondary_or_below,male,1,23,11.233334
153.0,18.59178082191781,zarqa,no_disability,secondary_or_below,male,2,9,2.0333333
30.0,18.76986301369863,irbid,no_disability,secondary_or_below,male,2,0,10.133333
0.0,17.583561643835615,amman,no_disability,secondary_or_below,male,0,10,6.2835937
59.0,18.263013698630136,amman,no_disability,secondary_or_below,male,2,4,2.0333333
61.0,19.432876712328767,balqa,no_disability,secondary_or_below,male,2,4,6.1
791.0,21.7013698630137,irbid,no_disability,bachelor_or_above,male,1,14,2.0333333
912.0,22.284931506849315,irbid,no_disability,bachelor_or_above,male,1,14,27.4
0.0,17.665753424657535,irbid,no_disability,secondary_or_below,male,0,10,14.680989
122.0,18.523287671232875,irbid,no_disability,secondary_or_below,male,2,3,6.133333
0.0,17.635616438356163,irbid,no_disability,secondary_or_below,male,0,10,12.752799
90.0,18.27123287671233,ajloun,no_disability,secondary_or_below,male,2,4,3.0333333
0.0,17.80821917808219,zarqa,no_disability,vocational_training,male,0,10,6.516862
0.0,18.33150684931507,irbid,no_disability,vocational_training,male,0,25,6.580729
0.0,18.041095890410958,zarqa,no_disability,secondary_or_below,male,0,10,3.4837239
0.0,19.69041095890411,amman,no_disability,secondary_or_below,male,0,11,5.9526043
28.0,18.18082191780822,maadaba,no_disability,secondary_or_below,male,2,2,4.0666666
243.0,19.104109589041094,maadaba,no_disability,secondary_or_below,male,1,17,4.0
0.0,17.172602739726027,amman,no_disability,secondary_or_below,male,0,10,19.019857
0.0,19.643835616438356,amman,no_disability,secondary_or_below,male,0,11,6.751367
30.0,18.73972602739726,zarqa,no_disability,secondary_or_below,male,2,0,3.0666666
28.0,18.29041095890411,zarqa,no_disability,bachelor_or_above,male,2,2,4.0666666
0.0,18.572602739726026,al_aqaba,no_disability,secondary_or_below,male,0,25,19.279753
304.0,18.854794520547944,maadaba,no_disability,secondary_or_below,male,1,17,2.0333333
